Counter-Strike, 14.991,749
Team Fortress 2, 01,778
Left 4 Dead 2, 4.991,706
Left 4 Dead 2, 4.991,648
Garry's Mod, 9.991,834
Garry's Mod, 9.992,736
Counter-Strike, 14.992,164
Garry's Mod, 9.992,513
GTA V, 59.992,379
Left 4 Dead 2, 4.992,59
Garry's Mod, 9.992,541
Portal 2, 19.992,262
Counter-Strike, 14.993,342
Garry's Mod, 9.993,203
OneShot, 9.993,251
Garry's Mod, 9.994,560
OneShot, 9.994,110
GTA V, 59.994,737
Team Fortress 2, 04,503
Left 4 Dead 2, 4.994,947
Counter-Strike, 14.994,953
OneShot, 9.995,225
Counter-Strike, 14.995,493
Garry's Mod, 9.995,222
GTA V, 59.995,667
GTA V, 59.995,510
Counter-Strike, 14.995,583
GTA V, 59.996,931
OneShot, 9.996,32
OneShot, 9.996,624
OneShot, 9.996,797
Portal 2, 19.996,521
GTA V, 59.996,508
Team Fortress 2, 06,265
Counter-Strike, 14.997,863
Counter-Strike, 14.997,743
GTA V, 59.997,53
Counter-Strike, 14.997,579
Garry's Mod, 9.998,913
Left 4 Dead 2, 4.999,112
OneShot, 9.999,913
GTA V, 59.999,839
Team Fortress 2, 09,49
Team Fortress 2, 09,624
Counter-Strike, 14.999,410
Counter-Strike, 14.9910,84
Counter-Strike, 14.9910,588
Left 4 Dead 2, 4.9910,392
Team Fortress 2, 010,555
Portal 2, 19.9910,590
Garry's Mod, 9.9910,311
Portal 2, 19.9910,795
Garry's Mod, 9.9911,201
OneShot, 9.9912,683
Team Fortress 2, 012,599
Left 4 Dead 2, 4.9912,392
OneShot, 9.9912,19
Garry's Mod, 9.9912,618
Left 4 Dead 2, 4.9912,371
GTA V, 59.9913,479
OneShot, 9.9913,944
Portal 2, 19.9913,267
GTA V, 59.9913,213
Garry's Mod, 9.9913,220
Left 4 Dead 2, 4.9913,696
GTA V, 59.9914,81
Team Fortress 2, 014,366
Team Fortress 2, 014,0
OneShot, 9.9915,183
Garry's Mod, 9.9916,356
Left 4 Dead 2, 4.9916,960
Garry's Mod, 9.9916,757
OneShot, 9.9916,616
GTA V, 59.9916,955
Portal 2, 19.9916,354
GTA V, 59.9916,268
OneShot, 9.9917,648
Counter-Strike, 14.9917,646
Left 4 Dead 2, 4.9917,983
Counter-Strike, 14.9917,66
Counter-Strike, 14.9918,142
Counter-Strike, 14.9918,9
Counter-Strike, 14.9918,714
Garry's Mod, 9.9918,233
OneShot, 9.9918,919
Left 4 Dead 2, 4.9918,184
GTA V, 59.9919,969
OneShot, 9.9919,721
Team Fortress 2, 019,479
Portal 2, 19.9919,422
Team Fortress 2, 020,338
Portal 2, 19.9921,534
Left 4 Dead 2, 4.9921,727
Counter-Strike, 14.9921,61
GTA V, 59.9922,153
OneShot, 9.9922,504
Left 4 Dead 2, 4.9923,546
Garry's Mod, 9.9923,297
Counter-Strike, 14.9923,547
Garry's Mod, 9.9924,383
Counter-Strike, 14.9925,700
Left 4 Dead 2, 4.9925,76
GTA V, 59.9925,722
Team Fortress 2, 025,936
Left 4 Dead 2, 4.9925,227
OneShot, 9.9925,759
Garry's Mod, 9.9925,842
Team Fortress 2, 026,168
OneShot, 9.9926,540
GTA V, 59.9927,982
GTA V, 59.9927,429
GTA V, 59.9927,275
OneShot, 9.9927,380
Portal 2, 19.9927,747
Left 4 Dead 2, 4.9928,670
Left 4 Dead 2, 4.9928,562
Team Fortress 2, 028,722
Left 4 Dead 2, 4.9929,989
Portal 2, 19.9929,266
OneShot, 9.9929,62
Counter-Strike, 14.9929,629
Portal 2, 19.9929,993
OneShot, 9.9930,665
Left 4 Dead 2, 4.9931,725
GTA V, 59.9931,401
Left 4 Dead 2, 4.9931,724
OneShot, 9.9931,917
Counter-Strike, 14.9931,925
Left 4 Dead 2, 4.9931,110
Left 4 Dead 2, 4.9932,542
Garry's Mod, 9.9932,482
Counter-Strike, 14.9932,351
Team Fortress 2, 032,143
Team Fortress 2, 032,748
Left 4 Dead 2, 4.9932,526
Counter-Strike, 14.9932,966
Left 4 Dead 2, 4.9933,557
Portal 2, 19.9933,478
Left 4 Dead 2, 4.9933,76
Portal 2, 19.9933,602
Portal 2, 19.9933,920
Left 4 Dead 2, 4.9933,225
Team Fortress 2, 034,223
Left 4 Dead 2, 4.9934,30
GTA V, 59.9935,469
Team Fortress 2, 035,924
Garry's Mod, 9.9935,363
Team Fortress 2, 035,111
Portal 2, 19.9936,46
Team Fortress 2, 036,812
GTA V, 59.9936,7
OneShot, 9.9936,509
Portal 2, 19.9937,761
Team Fortress 2, 037,515
Team Fortress 2, 037,332
Left 4 Dead 2, 4.9937,645
OneShot, 9.9937,910
GTA V, 59.9937,610
Left 4 Dead 2, 4.9937,192
Left 4 Dead 2, 4.9938,628
Portal 2, 19.9938,514
OneShot, 9.9938,221
Portal 2, 19.9938,333
OneShot, 9.9938,704
Left 4 Dead 2, 4.9938,489
Counter-Strike, 14.9938,546
GTA V, 59.9939,960
Portal 2, 19.9939,789
GTA V, 59.9939,594
Counter-Strike, 14.9940,710
GTA V, 59.9940,438
Team Fortress 2, 040,691
Portal 2, 19.9940,893
Portal 2, 19.9940,434
OneShot, 9.9940,925
Team Fortress 2, 040,119
Garry's Mod, 9.9941,777
OneShot, 9.9941,926
Garry's Mod, 9.9941,228
Counter-Strike, 14.9941,367
Portal 2, 19.9941,672
Team Fortress 2, 042,704
Portal 2, 19.9942,435
Portal 2, 19.9943,824
Left 4 Dead 2, 4.9944,901
GTA V, 59.9944,705
Portal 2, 19.9944,273
Left 4 Dead 2, 4.9945,542
OneShot, 9.9946,842
Garry's Mod, 9.9947,590
Left 4 Dead 2, 4.9947,732
Left 4 Dead 2, 4.9947,65
Counter-Strike, 14.9948,130
OneShot, 9.9948,14
OneShot, 9.9948,619
Counter-Strike, 14.9948,210
GTA V, 59.9949,585
Garry's Mod, 9.9950,815
Garry's Mod, 9.9950,176
Garry's Mod, 9.9950,4
OneShot, 9.9951,522
Garry's Mod, 9.9951,819
Counter-Strike, 14.9951,803
GTA V, 59.9951,264
Left 4 Dead 2, 4.9951,519
Left 4 Dead 2, 4.9952,256
GTA V, 59.9952,934
Counter-Strike, 14.9952,481
Portal 2, 19.9952,676
Team Fortress 2, 052,845
Team Fortress 2, 053,745
Left 4 Dead 2, 4.9954,809
OneShot, 9.9954,796
Counter-Strike, 14.9955,47
Garry's Mod, 9.9955,906
Counter-Strike, 14.9955,996
Portal 2, 19.9956,138
Team Fortress 2, 056,254
Garry's Mod, 9.9957,935
GTA V, 59.9957,668
OneShot, 9.9957,162
Team Fortress 2, 057,305
Counter-Strike, 14.9958,872
GTA V, 59.9958,539
OneShot, 9.9958,782
GTA V, 59.9958,910
Garry's Mod, 9.9958,464
Left 4 Dead 2, 4.9958,761
Portal 2, 19.9958,650
GTA V, 59.9959,775
Counter-Strike, 14.9959,316
OneShot, 9.9959,627
Garry's Mod, 9.9960,0
OneShot, 9.9960,345
GTA V, 59.9960,381
GTA V, 59.9960,297
OneShot, 9.9960,362
GTA V, 59.9960,342
OneShot, 9.9960,82
Counter-Strike, 14.9961,150
OneShot, 9.9961,394
GTA V, 59.9961,644
Counter-Strike, 14.9961,523
Left 4 Dead 2, 4.9961,720
Team Fortress 2, 062,414
Garry's Mod, 9.9963,796
Portal 2, 19.9963,8
Counter-Strike, 14.9963,634
Garry's Mod, 9.9963,922
Portal 2, 19.9963,119
Portal 2, 19.9963,968
Counter-Strike, 14.9964,947
Counter-Strike, 14.9964,768
OneShot, 9.9965,430
Portal 2, 19.9966,113
Left 4 Dead 2, 4.9966,598
Left 4 Dead 2, 4.9967,22
GTA V, 59.9967,102
Garry's Mod, 9.9967,657
Team Fortress 2, 068,353
Team Fortress 2, 068,632
Counter-Strike, 14.9968,588
Garry's Mod, 9.9968,2
OneShot, 9.9968,174
Counter-Strike, 14.9968,673
OneShot, 9.9968,412
GTA V, 59.9969,344
Garry's Mod, 9.9969,12
OneShot, 9.9970,943
OneShot, 9.9970,212
Left 4 Dead 2, 4.9970,823
Portal 2, 19.9970,934
GTA V, 59.9970,562
Counter-Strike, 14.9971,723
GTA V, 59.9971,691
OneShot, 9.9971,877
Left 4 Dead 2, 4.9972,684
Garry's Mod, 9.9972,644
OneShot, 9.9972,894
OneShot, 9.9973,814
Team Fortress 2, 073,248
Left 4 Dead 2, 4.9974,987
Garry's Mod, 9.9974,821
OneShot, 9.9974,322
OneShot, 9.9974,155
Counter-Strike, 14.9974,154
OneShot, 9.9974,259
Garry's Mod, 9.9975,847
